"","Site","S","Shannon","Simpson","Shannonevenness","Simpson_evenness","Fishers alpha","Number of individuals","Rarefied sp","Berger-Parker","Chao1"
"Abercrombie_0B_E_AB","Abercrombie_0B_E_AB",15,11.2566411077339,9.66091954022988,0.893985744496838,0.644061302681992,5.38153538176791,82,14.8030696488399,0.146341463414634,18
"Abercrombie_1B_2","Abercrombie_1B_2",18,13.2216365886076,10.8802588996764,0.893260396737259,0.604458827759799,7.12451576601885,82,17.7523927138006,0.146341463414634,21.3333333333333
"Blease_3B_6","Blease_3B_6",23,16.672173900125,14.3185035389282,0.897383602843751,0.622543632127314,8.48962418828894,119,20.1718664778349,0.100840336134454,28.25
"Blease_3B_9","Blease_3B_9",22,17.9588330240752,15.8102189781022,0.934339184257206,0.718646317186463,8.1139998125616,114,20.6563555438748,0.105263157894737,22.75
"Bryson_2B_9","Bryson_2B_9",17,12.9466683566134,11.2056833558863,0.903863625610402,0.659157844463902,6.16493603531941,91,16.387584113052,0.131868131868132,19
"Burnett_1B_5","Burnett_1B_5",26,20.781547413017,17.5913043478261,0.931238658508263,0.676588628762542,10.263444375951,119,24.0936988115043,0.100840336134454,26.4285714285714
"Creswell_0B_8","Creswell_0B_8",23,18.0330373982576,14.9491525423729,0.922408171543954,0.649963154016212,10.4459253358777,84,22.6204718190108,0.119047619047619,24.6666666666667
"Creswell_2B_10","Creswell_2B_10",23,17.5827081892099,14.8255033557047,0.914342598774714,0.644587102421943,9.71163338034866,94,21.7427599473201,0.127659574468085,30
"Honea_Path_0B_1","Honea_Path_0B_1",17,11.2513530973375,9.27439024390244,0.85432620237186,0.545552367288379,6.70128983721475,78,17,0.153846153846154,31
"Honea_Path_3B_1","Honea_Path_3B_1",24,18.2893644091928,15.9244019138756,0.914496690810675,0.663516746411483,8.68506942324031,129,21.2180011183075,0.0930232558139535,26
"Honea_Path_3B_3","Honea_Path_3B_3",24,19.9248768333565,17.6253164556962,0.941446936667135,0.734388185654008,9.10353724171375,118,22.4584493559572,0.0932203389830508,24.75
"Hudson_2B_7","Hudson_2B_7",24,17.8368628275375,15.0047003525264,0.906613737533372,0.625195848021935,9.32356254959668,113,21.7284446917914,0.0973451327433628,27.75
"Kemp_0B_10","Kemp_0B_10",23,16.9196125749474,14.2222222222222,0.902082179608173,0.618357487922705,8.77014089384034,112,20.8167961691648,0.107142857142857,26.75
"Kemp_1B_1","Kemp_1B_1",26,20.1227874567183,16.8174097664544,0.921351728590844,0.646823452555937,12.353437156005,89,24.9375423551904,0.112359550561798,30.6666666666667
"Kemp_2B_5","Kemp_2B_5",24,18.0573951833132,15.3982002249719,0.910480268989795,0.641591676040495,9.14586950677434,117,21.6401667074158,0.094017094017094,25.4285714285714
"Kessler_3B_4","Kessler_3B_4",20,15.640879118734,13.3388888888889,0.917935146425103,0.666944444444445,7.60031626104192,98,19.208574939861,0.122448979591837,20.6
"Kessler_3B_5B","Kessler_3B_5B",27,20.4443707907653,16.9660574412533,0.915611937219196,0.628372497824195,11.1755639393348,114,24.4049280283671,0.105263157894737,29.1428571428571
"Mathis_1B_6","Mathis_1B_6",22,17.6349549671706,15.946474086661,0.928451502489533,0.724839731211863,7.40682902502571,137,19.6095787212863,0.0875912408759124,32
"Mills_0B_9","Mills_0B_9",18,14.5006910777861,12.5307443365696,0.925208427435736,0.696152463142755,6.84875939156387,88,17.6340296359275,0.136363636363636,19
"Mills_1B_45","Mills_1B_45",24,18.7752252753753,16.0841584158416,0.92274654641252,0.670173267326732,9.27783177205875,114,22.0964831080537,0.0964912280701754,29
"Shealy_0B_2","Shealy_0B_2",22,16.090080597286,13.5107033639144,0.898791592825651,0.614122880177926,9.04103831841225,94,20.578434688105,0.127659574468085,31.3333333333333
"Shealy_0B_4","Shealy_0B_4",25,20.0245848327019,17.3333333333333,0.931058208936306,0.693333333333333,10.4416394824333,104,23.2842547544183,0.0961538461538462,28.75
"Shealy_1B_3B","Shealy_1B_3B",21,15.1622637430297,12.8151658767773,0.893016802503337,0.61024599413225,7.93439692698949,104,19.2828887210802,0.115384615384615,24.75
"Shealy_1B_E_S","Shealy_1B_E_S",29,21.2601757882399,17.4581005586592,0.907801332497893,0.602003467539973,11.8554204694172,125,25.1951486971645,0.096,31.625
"Shealy_2B_3","Shealy_2B_3",21,15.8689071871012,13.6565656565657,0.907978748200108,0.65031265031265,7.93439692698949,104,19.4893538029835,0.115384615384615,23
"Suggs_0B_E_S","Suggs_0B_E_S",21,17.3803514488179,15.6508875739645,0.93786148714308,0.745280360664976,7.52749598372032,115,19.6922725120659,0.0956521739130435,21.75
"Swanson_3B_2","Swanson_3B_2",24,19.702200202927,17.4331065759637,0.937910581146139,0.726379440665155,8.86526933062254,124,22.0554921926472,0.0967741935483871,26
"Timberhaven_2B_1","Timberhaven_2B_1",24,18.1276220330978,15.4329199549042,0.911701628998447,0.64303833145434,9.14586950677434,117,21.5710951506101,0.102564102564103,27.75
"Turkey_Rd_2B_6A","Turkey_Rd_2B_6A",22,18.5260023385751,16.7525562372188,0.944398312579724,0.761479828964491,7.651762128343,128,20.4790490399072,0.09375,23.5
