Site,SR,Treatment,Nthins,Nburns,BA,Herbicide,Age,Parea
Battlewood_1B_8,21,1B,1,1,81,0,32,126.964
Battlewood_1B_E_B,24,1B,1,1,84,0,20,45.59
Blease_3B_6,33,3B,2,4,102,1,32,70.018
Blease_3B_9,27,3B,2,12,87,1,37,38.336
Bryson_1B_9,22,1B,3,1,92,1,35,32.32
Bryson_2B_9,23,2B,3,2,91,1,35,90.078
Bryson_3B_E_B,27,3B,3,3,90,1,35,23.169
Burnett_Pauline_1B_5,21,1B,2,1,77,1,29,17.682
Creswell_0B_8,25,0B,0,0,100,0,27,18.268
Creswell_2B_10,22,2B,1,2,81,1,42,46.922
Gosnell_0B_5A,26,0B,1,0,110,0,22,176.031
Gosnell_0B_5B,24,0B,1,0,98,0,22,176.031
Hood_Creek_0B_7,23,0B,1,0,104,0,25,48.751
Hood_Creek_0B_HC,24,0B,1,0,97,0,25,19.893
Howard_2B_4,20,2B,2,2,67,0,25,38.894
Hudson_2B_7,32,2B,1,2,73,1,26,28.115
Hudson_2B_8,26,2B,1,2,83,1,26,46.199
Kemp_0B_10,23,3B,2,7,74,1,32,21.693
Kemp_1B_1,24,1B,1,1,78,1,15,19.598
Kemp_2B_2,25,2B,2,2,84,1,17,27.685
Kemp_2B_5,19,2B,2,2,93,1,26,60.083
Kemp_3B_11,27,3B,6,5,41,1,57,26.996
Kessler_3B_4,21,3B,2,3,105,0,31,200.129
Kessler_3B_5A,30,3B,3,3,91,0,31,267.633
Kessler_3B_5B,32,3B,3,3,75,0,31,267.633
Livingston_3B_10,30,3B,2,4,73,1,39,51.309
Mathis_1B_6,30,1B,2,1,50,0,30,47.521
Mathis_1B_7,30,1B,1,1,74,0,30,37.359
Mills_0B_9,28,0B,2,0,96,0,30,152.889
Mills_1B_4,26,1B,2,1,97,0,23,15.842
Mills_1B_45,25,1B,2,1,99,0,29,157.229
Shealy_0B_2,22,0B,1,0,101,0,18,105.418
Shealy_0B_4,29,0B,1,0,91,1,21,42.592
Shealy_1B_3A,22,1B,1,1,124,1,21,250.499
Shealy_1B_3B,24,1B,1,1,92,1,21,250.499
Shealy_1B_E_S,20,1B,1,1,101,1,21,30.817
Shealy_2B_3,27,2B,1,2,92,1,21,30.782
Suggs_0B_E_S,23,0B,1,0,76,1,21,69.257
Swanson_2B_E_SW,25,2B,3,2,67,0,28,75.793
Swanson_3B_2,28,3B,3,3,69,0,28,49.378
Timberhaven_2B_1,26,2B,1,2,73,1,16,26.075
Timberhaven_3B_7,29,3B,3,8,42,1,32,122.621
Timberhaven_3B_8,24,3B,3,8,38,1,34,60.713
Turkey_Rd_2B_6A,29,2B,2,2,66,1,26,163.176
Turkey_Rd_2B_6B,27,2B,2,2,82,1,26,25.18
Turner_Abercrombie_0B_E_AB,22,0B,1,0,97,1,16,42.334
Turner_Abercrombie_1B_2,19,1B,1,1,114,0,16,16.157
Turner_Honea_Path_0B_1,19,0B,1,0,121,1,16,53.867
Turner_Honea_Path_0B_6,21,0B,2,0,92,0,24,86.903
Turner_Honea_Path_3B_1,27,3B,2,3,76,1,25,33.196
Turner_Honea_Path_3B_3,26,3B,2,3,90,1,29,46.468
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
